name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Yogurt, whole milk, plain","{'Amount': 3.47, 'unit': 'g'}","{'Amount': 61.0, 'unit': 'kcal'}","{'Amount': 4.66, 'unit': 'g'}","{'Amount': 3.25, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, low fat milk, plain","{'Amount': 5.25, 'unit': 'g'}","{'Amount': 63.0, 'unit': 'kcal'}","{'Amount': 7.04, 'unit': 'g'}","{'Amount': 1.55, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, nonfat milk, plain","{'Amount': 5.73, 'unit': 'g'}","{'Amount': 56.0, 'unit': 'kcal'}","{'Amount': 7.68, 'unit': 'g'}","{'Amount': 0.18, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, NS as to type of milk, plain","{'Amount': 9.95, 'unit': 'g'}","{'Amount': 73.0, 'unit': 'kcal'}","{'Amount': 3.94, 'unit': 'g'}","{'Amount': 1.92, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, whole milk, plain","{'Amount': 9.0, 'unit': 'g'}","{'Amount': 97.0, 'unit': 'kcal'}","{'Amount': 3.98, 'unit': 'g'}","{'Amount': 5.0, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, low fat milk, plain","{'Amount': 9.95, 'unit': 'g'}","{'Amount': 73.0, 'unit': 'kcal'}","{'Amount': 3.94, 'unit': 'g'}","{'Amount': 1.92, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, nonfat milk, plain","{'Amount': 10.3, 'unit': 'g'}","{'Amount': 61.0, 'unit': 'kcal'}","{'Amount': 3.64, 'unit': 'g'}","{'Amount': 0.37, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, NS as to type of milk, fruit","{'Amount': 4.66, 'unit': 'g'}","{'Amount': 89.0, 'unit': 'kcal'}","{'Amount': 14.5, 'unit': 'g'}","{'Amount': 1.37, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, whole milk, fruit","{'Amount': 3.1, 'unit': 'g'}","{'Amount': 87.0, 'unit': 'kcal'}","{'Amount': 12.4, 'unit': 'g'}","{'Amount': 2.87, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, low fat milk, fruit","{'Amount': 4.66, 'unit': 'g'}","{'Amount': 89.0, 'unit': 'kcal'}","{'Amount': 14.5, 'unit': 'g'}","{'Amount': 1.37, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 64, 'portionDescription': '1 tube'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, nonfat milk, fruit","{'Amount': 5.09, 'unit': 'g'}","{'Amount': 83.0, 'unit': 'kcal'}","{'Amount': 15.0, 'unit': 'g'}","{'Amount': 0.17, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, NS as to type of milk, fruit","{'Amount': 8.17, 'unit': 'g'}","{'Amount': 105, 'unit': 'kcal'}","{'Amount': 12.3, 'unit': 'g'}","{'Amount': 2.57, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, whole milk, fruit","{'Amount': 7.33, 'unit': 'g'}","{'Amount': 106, 'unit': 'kcal'}","{'Amount': 12.3, 'unit': 'g'}","{'Amount': 3.0, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, low fat milk, fruit","{'Amount': 8.17, 'unit': 'g'}","{'Amount': 105, 'unit': 'kcal'}","{'Amount': 12.3, 'unit': 'g'}","{'Amount': 2.57, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 57, 'portionDescription': '1 tube'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, nonfat milk, fruit","{'Amount': 8.06, 'unit': 'g'}","{'Amount': 83.0, 'unit': 'kcal'}","{'Amount': 12.2, 'unit': 'g'}","{'Amount': 0.15, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, NS as to type of milk, flavors other than fruit","{'Amount': 5.09, 'unit': 'g'}","{'Amount': 73.0, 'unit': 'kcal'}","{'Amount': 9.82, 'unit': 'g'}","{'Amount': 1.51, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}]"
"Yogurt, whole milk, flavors other than fruit","{'Amount': 3.3, 'unit': 'g'}","{'Amount': 77.0, 'unit': 'kcal'}","{'Amount': 9.41, 'unit': 'g'}","{'Amount': 3.1, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, low fat milk, flavors other than fruit","{'Amount': 5.09, 'unit': 'g'}","{'Amount': 73.0, 'unit': 'kcal'}","{'Amount': 9.82, 'unit': 'g'}","{'Amount': 1.51, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 64, 'portionDescription': '1 tube'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, nonfat milk, flavors other than fruit","{'Amount': 5.56, 'unit': 'g'}","{'Amount': 66.0, 'unit': 'kcal'}","{'Amount': 10.4, 'unit': 'g'}","{'Amount': 0.18, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","{'Amount': 8.64, 'unit': 'g'}","{'Amount': 95.0, 'unit': 'kcal'}","{'Amount': 9.54, 'unit': 'g'}","{'Amount': 2.5, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, whole milk, flavors other than fruit","{'Amount': 8.47, 'unit': 'g'}","{'Amount': 111, 'unit': 'kcal'}","{'Amount': 9.35, 'unit': 'g'}","{'Amount': 4.44, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, low fat milk, flavors other than fruit","{'Amount': 8.64, 'unit': 'g'}","{'Amount': 95.0, 'unit': 'kcal'}","{'Amount': 9.54, 'unit': 'g'}","{'Amount': 2.5, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 57, 'portionDescription': '1 tube'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, nonfat milk, flavors other than fruit","{'Amount': 8.64, 'unit': 'g'}","{'Amount': 78.0, 'unit': 'kcal'}","{'Amount': 10.4, 'unit': 'g'}","{'Amount': 0.18, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, with oats","{'Amount': 8.9, 'unit': 'g'}","{'Amount': 160, 'unit': 'kcal'}","{'Amount': 22.4, 'unit': 'g'}","{'Amount': 4.29, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, liquid","{'Amount': 3.71, 'unit': 'g'}","{'Amount': 72.0, 'unit': 'kcal'}","{'Amount': 11.8, 'unit': 'g'}","{'Amount': 1.09, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 93, 'portionDescription': '1 bottle'}, {'gramWeight': 93, 'portionDescription': 'Quantity not specified'}]"
"Chipotle dip, yogurt based","{'Amount': 7.93, 'unit': 'g'}","{'Amount': 189, 'unit': 'kcal'}","{'Amount': 3.33, 'unit': 'g'}","{'Amount': 16.0, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Dill dip, yogurt based","{'Amount': 8.16, 'unit': 'g'}","{'Amount': 191, 'unit': 'kcal'}","{'Amount': 3.76, 'unit': 'g'}","{'Amount': 16.0, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Onion dip, yogurt based","{'Amount': 6.82, 'unit': 'g'}","{'Amount': 159, 'unit': 'kcal'}","{'Amount': 4.07, 'unit': 'g'}","{'Amount': 12.9, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Ranch dip, yogurt based","{'Amount': 8.48, 'unit': 'g'}","{'Amount': 195, 'unit': 'kcal'}","{'Amount': 4.13, 'unit': 'g'}","{'Amount': 16.1, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Spinach dip, yogurt based","{'Amount': 7.02, 'unit': 'g'}","{'Amount': 158, 'unit': 'kcal'}","{'Amount': 3.6, 'unit': 'g'}","{'Amount': 12.9, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
Tzatziki dip,"{'Amount': 5.35, 'unit': 'g'}","{'Amount': 92.0, 'unit': 'kcal'}","{'Amount': 3.95, 'unit': 'g'}","{'Amount': 6.31, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Vegetable dip, yogurt based","{'Amount': 8.16, 'unit': 'g'}","{'Amount': 191, 'unit': 'kcal'}","{'Amount': 3.76, 'unit': 'g'}","{'Amount': 16.0, 'unit': 'g'}","[{'gramWeight': 15, 'portionDescription': '1 tablespoon'}, {'gramWeight': 70, 'portionDescription': '1 individual container'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Yogurt parfait, low fat, with fruit","{'Amount': 3.36, 'unit': 'g'}","{'Amount': 84.0, 'unit': 'kcal'}","{'Amount': 15.9, 'unit': 'g'}","{'Amount': 1.01, 'unit': 'g'}","[{'gramWeight': 150, 'portionDescription': ""1 McDonald's parfait""}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt, NFS","{'Amount': 3.0, 'unit': 'g'}","{'Amount': 127, 'unit': 'kcal'}","{'Amount': 21.6, 'unit': 'g'}","{'Amount': 3.6, 'unit': 'g'}","[{'gramWeight': 175, 'portionDescription': '1 cup'}, {'gramWeight': 160, 'portionDescription': '1 scoop'}, {'gramWeight': 480, 'portionDescription': '1 large ice cream cup'}, {'gramWeight': 320, 'portionDescription': '1 medium ice cream cup'}, {'gramWeight': 175, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 160, 'portionDescription': '1 small ice cream cup'}]"
"Frozen yogurt, vanilla","{'Amount': 3.0, 'unit': 'g'}","{'Amount': 127, 'unit': 'kcal'}","{'Amount': 21.6, 'unit': 'g'}","{'Amount': 3.6, 'unit': 'g'}","[{'gramWeight': 175, 'portionDescription': '1 cup'}, {'gramWeight': 160, 'portionDescription': '1 scoop'}, {'gramWeight': 480, 'portionDescription': '1 large ice cream cup'}, {'gramWeight': 160, 'portionDescription': '1 small ice cream cup'}, {'gramWeight': 175, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 320, 'portionDescription': '1 medium ice cream cup'}]"
"Frozen yogurt, chocolate","{'Amount': 3.0, 'unit': 'g'}","{'Amount': 131, 'unit': 'kcal'}","{'Amount': 21.6, 'unit': 'g'}","{'Amount': 3.6, 'unit': 'g'}","[{'gramWeight': 175, 'portionDescription': '1 cup'}, {'gramWeight': 160, 'portionDescription': '1 scoop'}, {'gramWeight': 175, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 480, 'portionDescription': '1 large ice cream cup'}, {'gramWeight': 160, 'portionDescription': '1 small ice cream cup'}, {'gramWeight': 320, 'portionDescription': '1 medium ice cream cup'}]"
"Frozen yogurt, soft serve, vanilla","{'Amount': 4.0, 'unit': 'g'}","{'Amount': 159, 'unit': 'kcal'}","{'Amount': 24.2, 'unit': 'g'}","{'Amount': 5.6, 'unit': 'g'}","[{'gramWeight': 175, 'portionDescription': '1 cup'}, {'gramWeight': 175, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt, soft serve, chocolate","{'Amount': 4.31, 'unit': 'g'}","{'Amount': 160, 'unit': 'kcal'}","{'Amount': 24.9, 'unit': 'g'}","{'Amount': 5.76, 'unit': 'g'}","[{'gramWeight': 175, 'portionDescription': '1 cup'}, {'gramWeight': 175, 'portionDescription': 'Quantity not specified'}]"
Frozen yogurt sandwich,"{'Amount': 3.9, 'unit': 'g'}","{'Amount': 204, 'unit': 'kcal'}","{'Amount': 34.4, 'unit': 'g'}","{'Amount': 6.25, 'unit': 'g'}","[{'gramWeight': 75, 'portionDescription': '1 sandwich'}, {'gramWeight': 75, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt bar, vanilla","{'Amount': 3.0, 'unit': 'g'}","{'Amount': 127, 'unit': 'kcal'}","{'Amount': 21.6, 'unit': 'g'}","{'Amount': 3.6, 'unit': 'g'}","[{'gramWeight': 65, 'portionDescription': '1 bar'}, {'gramWeight': 65, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt bar, chocolate","{'Amount': 3.0, 'unit': 'g'}","{'Amount': 131, 'unit': 'kcal'}","{'Amount': 21.6, 'unit': 'g'}","{'Amount': 3.6, 'unit': 'g'}","[{'gramWeight': 65, 'portionDescription': '1 bar'}, {'gramWeight': 65, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt cone, chocolate","{'Amount': 3.2, 'unit': 'g'}","{'Amount': 142, 'unit': 'kcal'}","{'Amount': 23.9, 'unit': 'g'}","{'Amount': 3.73, 'unit': 'g'}","[{'gramWeight': 125, 'portionDescription': '1 cone'}, {'gramWeight': 125, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt cone, vanilla","{'Amount': 3.2, 'unit': 'g'}","{'Amount': 139, 'unit': 'kcal'}","{'Amount': 23.9, 'unit': 'g'}","{'Amount': 3.73, 'unit': 'g'}","[{'gramWeight': 125, 'portionDescription': '1 cone'}, {'gramWeight': 125, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt cone, vanilla, waffle cone","{'Amount': 3.29, 'unit': 'g'}","{'Amount': 143, 'unit': 'kcal'}","{'Amount': 25.3, 'unit': 'g'}","{'Amount': 3.61, 'unit': 'g'}","[{'gramWeight': 255, 'portionDescription': '1 cone'}, {'gramWeight': 255, 'portionDescription': 'Quantity not specified'}]"
"Frozen yogurt cone, chocolate, waffle cone","{'Amount': 3.29, 'unit': 'g'}","{'Amount': 147, 'unit': 'kcal'}","{'Amount': 25.3, 'unit': 'g'}","{'Amount': 3.61, 'unit': 'g'}","[{'gramWeight': 255, 'portionDescription': '1 cone'}, {'gramWeight': 255, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, whole milk, baby food","{'Amount': 3.47, 'unit': 'g'}","{'Amount': 61.0, 'unit': 'kcal'}","{'Amount': 4.66, 'unit': 'g'}","{'Amount': 3.25, 'unit': 'g'}","[{'gramWeight': 113, 'portionDescription': '1 container'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS","{'Amount': 3.4, 'unit': 'g'}","{'Amount': 98.0, 'unit': 'kcal'}","{'Amount': 13.2, 'unit': 'g'}","{'Amount': 3.53, 'unit': 'g'}","[{'gramWeight': 113, 'portionDescription': '1 container'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron","{'Amount': 3.05, 'unit': 'g'}","{'Amount': 92.0, 'unit': 'kcal'}","{'Amount': 13.0, 'unit': 'g'}","{'Amount': 3.08, 'unit': 'g'}","[{'gramWeight': 113, 'portionDescription': '1 container'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA","{'Amount': 3.4, 'unit': 'g'}","{'Amount': 98.0, 'unit': 'kcal'}","{'Amount': 13.2, 'unit': 'g'}","{'Amount': 3.53, 'unit': 'g'}","[{'gramWeight': 113, 'portionDescription': '1 container'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Chocolate milk, NFS","{'Amount': 3.39, 'unit': 'g'}","{'Amount': 67.0, 'unit': 'kcal'}","{'Amount': 13.5, 'unit': 'g'}","{'Amount': 0.0, 'unit': 'g'}","[{'gramWeight': 248, 'portionDescription': '1 cup'}, {'gramWeight': 31, 'portionDescription': '1 fl oz'}, {'gramWeight': 248, 'portionDescription': '1 individual school container'}, {'gramWeight': 248, 'portionDescription': 'Quantity not specified'}]"
"Chocolate milk, ready to drink, whole","{'Amount': 3.17, 'unit': 'g'}","{'Amount': 83.0, 'unit': 'kcal'}","{'Amount': 10.3, 'unit': 'g'}","{'Amount': 3.39, 'unit': 'g'}","[{'gramWeight': 248, 'portionDescription': '1 cup'}, {'gramWeight': 31, 'portionDescription': '1 fl oz'}, {'gramWeight': 248, 'portionDescription': '1 individual school container'}, {'gramWeight': 248, 'portionDescription': 'Quantity not specified'}]"
"Chocolate milk, ready to drink, reduced fat","{'Amount': 2.99, 'unit': 'g'}","{'Amount': 76.0, 'unit': 'kcal'}","{'Amount': 12.1, 'unit': 'g'}","{'Amount': 1.9, 'unit': 'g'}","[{'gramWeight': 248, 'portionDescription': '1 cup'}, {'gramWeight': 31, 'portionDescription': '1 fl oz'}, {'gramWeight': 248, 'portionDescription': '1 individual school container'}, {'gramWeight': 248, 'portionDescription': 'Quantity not specified'}]"
